,cDLBCL_2,cDLBCL_3,cDLBCL_4,cDLBCL_5,cDLBCL_6,cDLBCL_7,cDLBCL_8,cDLBCL_9,cDLBCL_11,cDLBCL_12,cDLBCL_13,cDLBCL_14,cDLBCL_15,cDLBCL_16,cDLBCL_17,cDLBCL_18,cDLBCL_19,cDLBCL_20,cDLBCL_21,cDLBCL_22,cDLBCL_23,cDLBCL_24,cDLBCL_25,cDLBCL_26,cDLBCL_27,cDLBCL_28,cDLBCL_29,cDLBCL_30,cDLBCL_31,cDLBCL_32,cDLBCL_33,cDLBCL_34,cDLBCL_35,cDLBCL_36,cDLBCL_37,cDLBCL_38,cDLBCL_39,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,Ctrl_5,Ctrl_7,Ctrl_8
GT_chr15:17610002-17610947_42682,-0.717395954,-0.705068826,-0.315005028,-1.501768036,-0.687963224,-1.069388247,-0.566722379,-0.031724928,-0.63620595,-0.233660708,-0.717561575,-0.270162462,0.327913196,-1.147694445,-1.173357182,-1.085975763,-1.295167955,-1.369312779,-1.309065186,-1.586489388,-0.910969512,-0.951826931,-1.069674175,-1.626386791,-1.300883637,-0.969235586,-0.745408441,-1.604195631,-0.510226986,-1.141180809,-1.183448435,-1.073563427,-1.803373129,-0.217240945,-1.563098196,-1.38549735,-1.055320147,-1.10334166,0.317594188,0.446567226,0.845095076,-0.137732337,0.778604289,0.712081207
GT_chr17:61698557-61698977_60489,-0.430436285,-1.306652761,0.245266729,-0.610947618,-0.453195822,-1.742394097,-0.410823104,-1.053623802,-0.801836679,-0.373692328,-0.863315885,-0.906448088,0.354549219,-0.030988649,-0.94038103,-1.454927521,-0.419796697,-0.713454358,-1.47015339,-0.66541518,0.62935415,-0.148426806,-0.166641993,-0.756161175,-1.140291134,-0.159508504,-0.636961467,-0.961253823,-1.917014915,-1.422086662,-0.713111502,-0.451699377,-1.190700018,-0.190780581,-0.646036284,-0.50580002,-0.652334548,0.829628282,0.50051918,0.641639849,0.74778874,0.899195761,0.829681239,0.654634708
GT_chr21:27651355-27652291_132353,-0.665626195,-1.20024013,-0.292637644,-0.97883857,-0.735104794,-1.343879644,-0.875618888,-0.130700002,-0.75814965,-0.161971153,-0.929488644,-1.237870888,-0.46808693,-0.909772826,-0.404719695,-0.402807404,-1.005754554,-0.999733221,-1.18593136,-1.46916283,-0.510017536,-0.513133572,-0.4097566,-0.793156549,-1.497456611,-0.700295338,-0.686514076,-0.831252948,-1.061459977,-1.188929546,-1.195567982,-0.7396571,-1.498739947,0.015637876,-1.168111644,-1.106814863,-0.729596442,-0.280076684,0.137148005,0.376453207,0.433574456,0.023566868,0.679433941,0.601625924
GT_chr24:32847274-32848892_151294,-1.438877875,-2.152635327,-0.710911378,-1.539647012,-1.546891616,-1.862589506,-1.743650594,-0.859408262,-1.264476059,-0.718087266,-1.560829149,-1.73423436,-0.536872985,-0.798881804,-1.176437935,-2.09615626,-1.635939343,-1.242035728,-1.835999176,-1.228213492,-1.308117802,-1.517802142,-1.086086555,-2.054240588,-1.572564136,-1.57895036,-1.72232881,-1.993105786,-1.434670126,-1.83436636,-1.699727888,-1.126591937,-1.789859611,-1.186791462,-1.772284921,-1.749905285,-1.579402002,-0.90208783,-0.214413819,-0.227853657,0.079405702,-0.211107738,0.093384568,0.047741546
GT_chr5:15801887-15804839_278770,-0.76521314,-1.106071437,-0.756799293,-1.07213686,-1.017875755,-0.923188002,-0.49928704,-0.714592606,-1.057996614,-0.877015028,-0.843720346,-0.378245285,0.162865665,-0.89166655,-0.13151882,-1.027716928,-1.021705752,-0.674487054,-0.597094664,-1.206643935,-0.707226334,-0.936425664,-0.99592915,-1.220840358,-1.30559908,-0.78894874,-0.834727854,-1.088030724,-1.099974651,-1.482156612,-0.977995624,-0.904463007,-1.12532494,-0.431566767,-0.871615462,-1.206935165,-0.699472685,-0.192249655,0.198018934,0.307881339,1.018545625,0.560364891,0.829449358,0.833564106
GT_chr6:31498360-31499687_296737,-0.314175052,0.227728855,0.739060227,-1.153514432,-0.013194467,-0.109255733,0.645748048,1.030940181,0.011389087,0.045759364,0.034471731,-0.225513395,1.252774777,-0.082141388,0.091259245,0.523776777,-0.171753242,0.43698406,-0.144581823,-0.554577495,0.201535462,0.140342659,-0.235304531,-0.513588071,-0.032528098,0.417157266,-0.319218102,-0.049995137,0.504769887,0.023719242,0.286141713,-0.432378667,0.050679746,0.458285396,0.158237919,-0.673798079,0.269847584,0.338735179,1.207110909,1.268898547,1.366546561,0.742295923,1.276232444,1.351754857
GT_chr7:42340410-42344398_312365,-0.852447317,-1.042541071,-0.742605602,-0.986614397,-0.808618631,-1.658232941,-0.808016818,-0.350696487,-1.001904728,-1.077540553,-1.084391889,-1.296004453,-0.898916201,-0.961541761,-0.995154957,-0.762536914,-0.808686782,-0.867232473,-0.883073818,-0.929769351,-0.886528259,-0.820646469,-0.651026436,-0.786465199,-1.092715722,-1.012615156,-1.173088321,-1.487671219,-0.931009509,-0.694069213,-0.918501603,-0.827848679,-1.318298399,-0.868390744,-1.071562291,-1.258355593,-0.661073921,-0.330575604,-0.183883552,-0.186888251,0.474696345,-0.320246848,0.485183773,0.517990905
GT_CpG_100:chr1:56894506-56895694_1614,-0.288308021,-1.02325676,-0.660659574,-0.111452335,-0.319455677,-0.86232141,0.82668512,-0.950697879,-0.784007731,-0.97917915,-0.527527101,-0.751830016,-1.802588358,-1.010305208,-0.322522668,-1.118032658,-0.813557977,-0.381029265,-0.64579285,-0.654128993,-0.14196544,-0.740892949,-0.348317025,-0.3098503,-1.321693149,-1.313060868,-0.778680938,-0.844609697,0.264935236,-1.700298617,-0.533493152,-0.561055281,-0.294677427,-0.810636172,0.119717544,-0.485359779,-0.403004319,0.726108422,-0.261648854,0.888497034,0.316500006,0.783557919,0.682996867,0.67520309
GT_CpG_100:chr18:48250425-48251401_1372,0.028982378,0.856807611,0.288805468,-0.31756983,-0.103552197,0.766713815,0.438294287,-0.254360373,0.775696687,0.327952587,0.747735139,0.166952071,-0.00518265,-0.635838524,0.537820064,0.037437433,0.201580482,0.182309848,0.432710024,-0.500088237,-0.418774444,-0.451339498,-0.387543957,-0.298455925,0.417489576,0.480862388,-0.040513753,0.365442535,0.559269229,0.106397619,0.590623491,-0.186361728,0.482296751,0.154571692,0.841171097,1.114525795,0.358853105,-1.078329117,-0.786603852,-0.947973423,-1.539575463,-1.677704312,-1.731402471,-1.39664633
GT_CpG_100:chr2:41270825-41272279_2437,1.034884052,0.37034077,-0.412190434,-0.30442389,0.710677594,0.665227375,1.009653494,-1.002163413,0.376735805,0.682310054,-0.41519838,0.547004063,0.934249858,1.002545954,0.336590805,1.363942358,0.836918801,0.959208357,1.374972565,0.952107235,0.353525035,0.371499325,0.336448556,0.372042969,1.298014601,1.176509202,0.662984222,0.498751176,0.42266537,0.673401782,0.799723054,0.203741768,0.308876006,0.798292561,0.718412302,0.850294921,0.780248295,-1.27000666,-0.734070563,-0.693485855,-1.092048475,-1.844510212,-1.336606759,-1.117741605
