,logFC,AveExpr,t,P.Value,adj.P.Val,B
GT_CpG_77:chr27:31835085-31836199_881657,2.93240949419305,0.375369366363636,13.1073408908842,7.84773244643563e-17,1.55621780084635e-14,28.1860230533135
GT_CpG_81:chr10:40652678-40653662_899196,2.78526137037838,0.465763248909091,12.4802371301142,4.36540202110112e-16,6.51836264338043e-14,26.4871887651453
GT_CpG_36:chr1:3274060-3274556_564003,2.51282414327799,0.0491021257954546,9.26454415853565,6.37831726882103e-12,3.07661458067109e-10,16.9618622332671
GT_CpG_90:chr1:104706255-104707295_948211,2.474970939,0.939111363340909,18.9796732184881,7.09011764648274e-23,3.10691104755978e-19,41.8301094295276
GT_CpG_208:chr10:6070361-6072996_308205,2.44418976925869,0.786481692590909,23.8062586041498,7.62307126835513e-27,2.76684328628383e-22,50.5850290507539
GT_CpG_35:chr25:15429047-15429606_825639,2.41952725221622,0.753985795090909,15.7366140801167,9.83346632356323e-20,7.5213976396087e-17,34.7720251282519
GT_CpG_80:chr25:36763765-36764637_896257,2.38971502876062,0.706792121795455,11.3240398485549,1.17780649668549e-14,1.18345870480631e-12,23.2189805084499
GT_CpG_32:chr3:70935210-70935686_522083,2.38429477905405,0.783020034113636,10.6128715163298,9.73978610908242e-14,7.75026419495329e-12,21.1203800063834
GT_CpG_84:chr5:7583451-7584516_921055,2.3770264857529,0.354280899772727,9.22274259850934,7.28708674868714e-12,3.46150474339728e-10,16.829363676174
GT_CpG_117:chr11:18620875-18622146_69374,2.3660780012973,0.349979486090909,7.68324122966078,1.12014999883219e-09,3.25947995389998e-08,11.8228159494165
GT_CpG_40:chr6:54377353-54377884_609633,2.35662698739382,0.741769690295455,14.3272683057866,3.19835203534532e-18,1.09385084619555e-15,31.3465844269315
GT_CpG_117:chr20:22252844-22254345_70337,2.35141584472973,0.561464443340909,11.3893805813076,9.73205660040933e-15,9.99308902265044e-13,23.40842340332
GT_CpG_66:chr1:100730324-100731203_811106,2.34979049988417,0.959882001227273,15.7276118548364,1.00476367596291e-19,7.53150756228279e-17,34.750878751836
GT_CpG_53:chr1:67148921-67149671_721381,2.34774547321236,0.687594227136364,11.3606638174735,1.05826757002834e-14,1.07487290669626e-12,23.3252347824324
GT_CpG_63:chr22:26111545-26112586_786429,2.33302788630888,0.264208020227273,9.14940339947874,9.20999258197693e-12,4.25624305770547e-10,16.5964104617847
GT_CpG_32:chr21:6928823-6929283_519122,2.31909659935907,-0.121329243045455,5.78178399585419,6.95110957796862e-07,1.10698162168346e-05,5.45469971681098
GT_CpG_46:chr10:20986779-20987353_659970,2.31648315940541,0.644745787681818,10.9433777575017,3.61934952327708e-14,3.19928303733259e-12,22.1040192367625
GT_CpG_74:chr11:18272413-18273324_863815,2.31222401832819,0.877758102659091,14.9251214976174,7.10590883351824e-19,3.45873191131727e-16,32.8283376615702
GT_CpG_23:chr21:10614928-10615369_377065,2.3004087073861,-0.742214618295455,3.9761666019862,0.0002559562837941,0.00194979381307298,-0.312300508516177
GT_CpG_148:chr22:42526426-42527894_164352,2.29894233319305,0.282664615886364,8.14586811705667,2.40782780952665e-10,8.10080596707804e-09,13.3506225601245
GT_CpG_103:chr9:5445423-5446725_17310,2.29656132881467,0.909629717659091,16.9875325145808,5.34762427879237e-21,8.35098376436913e-18,37.6233470963681
GT_CpG_104:chr12:11757022-11758257_17970,2.25636282109267,0.116848407931818,7.15942798164696,6.50974169358042e-09,1.59358986893338e-07,10.0755990309069
